Id,Province,Year,Location,Plot,Tree,Species,Diameter,Height,Lat,Long,Biomass
0,AB,1979,Lac La biche,8,201,Jack Pine,21.0,15.2,55.0,-112.0,122.97
1,AB,1979,Lac La biche,8,202,Jack Pine,23.5,14.94,55.0,-112.0,151.69
2,AB,1979,Lac La biche,8,203,Jack Pine,23.9,16.12,55.0,-112.0,150.1
3,AB,1979,Lac La biche,8,204,Jack Pine,21.7,17.89,55.0,-112.0,151.01
4,AB,1979,Lac La biche,8,205,Jack Pine,23.0,17.85,55.0,-112.0,166.74
5,AB,1979,Lac La biche,8,206,Jack Pine,15.2,16.46,55.0,-112.0,68.06
6,AB,1979,Lac La biche,8,207,Jack Pine,14.9,15.9,55.0,-112.0,58.17
7,AB,1979,Lac La biche,8,208,Jack Pine,15.0,15.9,55.0,-112.0,55.89
8,AB,1979,Lac La biche,8,209,Jack Pine,14.7,16.92,55.0,-112.0,69.28
9,AB,1979,Lac La biche,8,210,Jack Pine,17.4,16.99,55.0,-112.0,96.49
10,AB,1979,Lac La biche,8,211,Jack Pine,33.2,18.16,55.0,-112.0,367.81
11,AB,1979,Lac La biche,8,212,Jack Pine,9.4,10.4,55.0,-112.0,19.31
12,AB,1979,Lac La biche,8,213,Jack Pine,6.7,9.31,55.0,-112.0,8.69
13,AB,1979,Lac La biche,8,214,Jack Pine,6.0,8.18,55.0,-112.0,6.52
14,AB,1979,Lac La biche,8,215,Jack Pine,4.3,8.0,55.0,-112.0,3.65
15,AB,1979,Lac La biche,8,216,Jack Pine,4.5,6.52,55.0,-112.0,3.48
16,AB,1979,Lac La biche,8,217,Jack Pine,32.7,19.99,55.0,-112.0,392.53
17,AB,1979,Lac La biche,8,218,Jack Pine,32.9,22.48,55.0,-112.0,397.16
18,AB,1979,Lac La biche,8,219,Jack Pine,31.8,22.21,55.0,-112.0,350.37
19,AB,1979,Lac La biche,8,220,Jack Pine,32.7,20.45,55.0,-112.0,313.6
20,AB,1979,Whitecourt-2,10,221,Trembling Aspen,32.1,28.04,54.333,-115.5,559.3
21,AB,1979,Whitecourt-2,10,222,Trembling Aspen,33.3,26.64,54.333,-115.5,582.19
